id_region,lat,lon,radiationId,radiationAvg
380,41.44974,2.210299,355,15.6725
381,0,0,389,19.14
382,-33.9531776,115.0769369,20,21.0575
383,-34.1486111,19.0427778,343,18.6975
384,45.6476663,11.8665254,289,12.89166667
385,47.4920035,-0.5021085,183,12.37916667
386,0,0,389,19.14
387,-34.5951621,-56.2537148,4,16.46666667
388,-33.3117096,151.3120675,28,18.34666667
389,42.6817633,26.3153528,328,14.0575
390,38.0315592,14.7725171,275,16.42583333
391,0,0,389,19.14
392,46.93636,4.72736,170,12.18416667
393,49.35551035,4.06814172,190,11.15
394,0,0,389,19.14
395,39.9020296,22.54849,246,15.715
396,-41.1515967,172.9961297,322,13.87916667
397,47.4996989,1.4611064,196,12.0275
398,0,0,389,19.14
399,51.90263795,10.42476853,211,9.539166667
400,41.2889874,1.5911757,356,15.84583333
401,45.7083528,13.733628,286,13.0925
402,46.9862244,4.7467921,170,12.18416667
403,0,0,389,19.14
404,0,0,389,19.14
405,42.6073975,25.4856617,328,14.0575
406,-34.920215,138.8284007,13,18.075
407,39.3565832,-120.1821578,441,18.57
408,0,0,389,19.14
409,38.4734708,-1.3285448,376,17.46666667
410,47.4136687,0.7998446,196,12.0275
411,44.841225,-0.5800364,163,13.02166667
412,0,0,389,19.14
413,-33.3117096,151.3120675,28,18.34666667
414,45.5643442,17.0118954,29,12.57416667
415,48.83520025,2.445135855,186,11.13833333
416,-33.883948,18.9271246,343,18.6975
417,43.4173595,6.266128785,184,15.32666667
418,-23.0053563,-43.3297952,4,16.46666667
419,43.6955276,0.410101918,158,13.35083333
420,38.7877904,-84.8101254,455,14.79
421,-31.9961261,-68.7644217,102,21.7525
422,40.8498824,14.2294206,273,15.625
423,0,0,389,19.14
424,46.9783803,4.7694038,170,12.18416667
425,42.611735,-77.2919246,35,12.22583333
426,47.75305525,7.385015,398,11.34666667
427,0,0,389,19.14
428,0,0,389,19.14
429,0,0,389,19.14
430,0,0,389,19.14
431,-38.3695057,-69.832275,103,11.15833333
432,45.423994,17.882287,29,12.57416667
433,0,0,389,19.14
434,40.6325442,-8.659164151,327,14.8075
435,47.8030761,16.64696197,248,12.15166667
436,45.5475595,10.7242145,289,12.89166667
437,43.0538068,2.2176533,167,13.86916667
438,38,-121.4,441,18.57
439,35.000074,104.999927,116,15.125
440,47.2500001,15.1666665,340,11.97916667
441,47.2201931,4.966842121,170,12.18416667
442,0,0,389,19.14
443,32.6900085,35.4159734,260,18.80666667
444,38,-121.4,441,18.57
445,-33.666635,18.580989,343,18.6975
446,-33.7641013,19.5959321,343,18.6975
447,43.0542733,2.512471457,167,13.86916667
448,-34.5788471,-58.4353082,4,16.46666667
449,-34.3898607,-71.1718297,102,21.7525
450,43.2811054,-2.1793064,385,12.3675
451,-33.3117096,151.3120675,28,18.34666667
452,0,0,389,19.14
453,32.020114,-102.713209,483,19.17
454,46.7703522,-0.4318968,185,13.01666667
455,-35.003996,138.7164521,13,18.075
456,44.4270691,8.7868476,274,14.3075
457,43.0711952,12.6146669,279,13.53666667
458,36.7235378,-4.42351,375,17.88833333
459,40.3856618,17.9637483,265,14.3425
460,43.4296529,10.4822036,281,14.45916667
461,0,0,389,19.14
462,38.5110803,-122.8473388,441,18.57
463,48.2771082,14.2767326,235,10.73083333
464,49.45603675,-120.1907517,57,11.76
465,40.945711,14.231429,273,15.625
466,32.7469891,-117.2516124,443,18.09
467,-33.9416681,22.4195391,343,18.6975
468,0,0,389,19.14
469,26.2540493,29.2675469,137,21.87833333
470,-34.6075616,-58.437076,4,16.46666667
471,0,0,389,19.14
472,38.2971367,-122.2855293,441,18.57
473,48.1299677,15.5993819,129,11.51083333
474,38,-121.4,441,18.57
475,46.1127081,11.3064236,289,12.89166667
476,46.94497,4.75393,170,12.18416667
477,-46.74517175,-67.13983019,103,11.15833333
478,41.5887793,9.2840905,159,15.84333333
479,36.4044251,25.3958561,416,16.34833333
480,44.8411394,0.7425907,158,13.35083333
481,41.4357652,-8.2953134,327,14.8075
482,0,0,389,19.14
483,-49.147049,-72.4839249,103,11.15833333
484,0,0,389,19.14
485,-28.8166236,24.991639,341,18.8775
486,46.5097977,4.862258,175,12.2625
487,-34.8332036,19.9999325,343,18.6975
488,0,0,389,19.14
489,47.06938005,4.857646777,170,12.18416667
490,39.3565832,-120.1821578,441,18.57
491,0,0,389,19.14
492,42.227681,13.854983,284,13.34666667
493,-33.0801379,-68.8862665,4,16.46666667
494,-34.61341495,138.9385455,13,18.075
495,29.6642381,-98.1444271,484,17.85
496,0,0,389,19.14
497,-38.243315,145.0885432,23,15.2975
498,44.73110855,-0.318706385,163,13.02166667
499,36.8100217,14.8175347,269,16.59333333
500,39.4177902,-2.6232332,349,17.0325
501,45.523749,6.0116094,401,12.39666667
502,-35.07216595,-71.25589332,103,11.15833333
503,41.8988768,12.5035512,283,13.9525
504,43.2924591,-2.9921018,357,12.29583333
505,46.7985624,8.2319736,402,14.77916667
506,46.2039175,24.54602999,329,12.46833333
507,37.751428,-87.139672,479,15.72
508,45.66131875,10.68510434,289,12.89166667
509,-33.1184629,-68.8859261,4,16.46666667
510,0,0,389,19.14
511,0,0,389,19.14
512,0,0,389,19.14
513,0,0,389,19.14
514,0,0,389,19.14
515,0,0,389,19.14
516,40.7092763,9.698963,264,15.0275
517,45.15883225,25.44781301,328,14.0575
518,0,0,389,19.14
519,46.3508165,4.700772,175,12.2625
520,0,0,389,19.14
521,0,0,389,19.14
522,-34.3259555,19.5681494,343,18.6975
523,-36.5860356,140.5218734,25,15.285
524,46.2175474,4.5203971,175,12.2625
525,47.3830917,-0.6570828,183,12.37916667
526,31.8514532,-109.8181858,439,20.49
527,38.29501795,-122.4759997,441,18.57
528,41.6809707,44.0287382,199,12.50083333
529,-30.3924889,-69.2099108,102,21.7525
530,-33.8402778,18.6494444,343,18.6975
531,-30.5343665,135.6301212,13,18.075
532,38.29501795,-122.4759997,441,18.57
533,45.8483997,12.0472209,270,12.94916667
534,47.0016955,4.7811102,170,12.18416667
535,-33.3117096,151.3120675,28,18.34666667
536,38.2971367,-122.2855293,441,18.57
537,46.9928724,4.7658083,170,12.18416667
538,45.4889832,3.8949653,169,12.43416667
539,-41.0773358,175.658192,322,13.87916667
540,45.7832809,11.7906828,289,12.89166667
541,46.0162019,13.54891023,286,13.0925
542,45.3442868,-122.6670374,474,12.66
543,44.6316828,-0.3349069,163,13.02166667
544,0,0,389,19.14
545,33.547545,-86.902243,437,16.62
546,47.1772352,4.9643152,170,12.18416667
547,0,0,389,19.14
548,43.3207966,5.368422914,176,15.80583333
549,46.4358751,5.3421832,175,12.2625
550,46.0664228,11.1257601,289,12.89166667
551,35.6729639,-79.0392919,463,15.81
552,42.61884635,-6.65184367,380,15.53083333
553,-39.6650033,-65.4144268,4,16.46666667
554,0,0,389,19.14
555,-43.1052329,172.7679265,322,13.87916667
556,38.63117475,-8.913360268,326,17.3475
557,42.7274798,12.2545458,291,15.23083333
558,0,0,389,19.14
559,0,0,389,19.14
560,0,0,389,19.14
561,0,0,389,19.14
562,39.3176491,-123.4126399,473,15.72
563,0,0,389,19.14
564,45.5585306,-0.498764,185,13.01666667
565,38.9016248,-9.118728,326,17.3475
566,0,0,389,19.14
567,41.7584063,-4.6990798,393,16.245
568,47.504516,16.49443026,248,12.15166667
569,-33.6348808,-70.5729961,102,21.7525
570,-33.3117096,151.3120675,28,18.34666667
571,0,0,389,19.14
572,0,0,389,19.14
573,35.021041,135.7556075,304,15.125
574,-33.9359931,18.8741204,343,18.6975
575,32.7469891,-117.2516124,443,18.09
576,-33.3117096,151.3120675,28,18.34666667
577,0,0,389,19.14
578,44.8534568,0.487531,158,13.35083333
579,0,0,389,19.14
580,46.603354,1.8883335,164,12.14666667
581,40.7798952,14.0886704,273,15.625
582,38.29501795,-122.4759997,441,18.57
583,42.3251075,1.6057884,167,13.86916667
584,-34.6666979,139.1299649,13,18.075
585,-33.3117096,151.3120675,28,18.34666667
586,0,0,389,19.14
587,45.0630557,7.7000997,274,14.3075
588,-32.5016978,19.2550823,343,18.6975
589,44.8454885,-0.5328314,163,13.02166667
590,41.9940075,21.4394921,315,13.27833333
591,45.73895515,10.07081881,399,15.25
592,44.183342,0.6216957,158,13.35083333
593,0,0,389,19.14
594,42.01523205,-3.729163443,393,16.245
595,-35.0641302,138.8586385,13,18.075
596,46.06098335,14.52631634,340,11.97916667
597,0,0,389,19.14
598,46.2116398,12.4131488,270,12.94916667
599,36.6626521,-75.9346486,462,16.05
600,0,0,389,19.14
601,31.0826699,-98.5361482,484,17.85
602,37.7309803,13.1831444,288,15.95666667
603,0,0,389,19.14
604,40.0796606,-89.4337288,460,15.27
605,44.1085491,0.459414315,158,13.35083333
606,-32.6056264,18.9340699,343,18.6975
607,0,0,389,19.14
608,46.5319384,4.5572029,175,12.2625
609,0,0,389,19.14
610,33.2227869,35.6392669,308,17.37583333
611,30.5,34.9166667,139,19.80583333
612,39.3565832,-120.1821578,441,18.57
613,38.5110803,-122.8473388,441,18.57
614,-33.934444,18.869167,343,18.6975
615,-35.2172617,138.5416998,13,18.075
616,-42.035067,146.6366887,17,15.2725
617,45.27374695,-0.499559618,163,13.02166667
618,0,0,389,19.14
619,44.2360427,8.4298691,274,14.3075
620,0,0,389,19.14
621,40.796728,16.92359,265,14.3425
622,-23.0053563,-43.3297952,4,16.46666667
623,0,0,389,19.14
624,49.3549588,6.1578459,312,9.9425
625,44.6043291,-0.323435,163,13.02166667
626,0,0,389,19.14
627,46.85967165,15.85036475,117,11.46333333
628,45.94521685,13.52962142,286,13.0925
629,-34.80940095,148.1088141,28,18.34666667
630,-29.0922692,-51.45517118,4,16.46666667
631,47.0178048,4.789958023,170,12.18416667
632,-36.3594895,146.6870123,28,18.34666667
633,45.6476663,11.8665254,289,12.89166667
634,41.17004195,-7.304749812,327,14.8075
635,44.4495,1.4364999,179,13.82083333
636,0,0,389,19.14
637,34.5708167,-105.993007,466,20.04
638,40.6792089,-85.7019246,455,14.79
639,0,0,389,19.14
640,0,0,389,19.14
641,45.34851865,11.95717971,289,12.89166667
642,-43.586562,171.2123294,322,13.87916667
643,0,0,389,19.14
644,0,0,389,19.14
645,-33.3117096,151.3120675,28,18.34666667
646,47.2000338,13.199959,270,12.94916667
647,0,0,389,19.14
648,0,0,389,19.14
649,0,0,389,19.14
650,47.0754421,4.874665256,170,12.18416667
651,-35.5165547,147.0340204,28,18.34666667
652,42.7186152,12.1087907,291,15.23083333
653,38,-121.4,441,18.57
654,0,0,389,19.14
655,39.3565832,-120.1821578,441,18.57
656,46.2969485,4.7241794,175,12.2625
657,0,0,389,19.14
658,48.68049515,2.172205159,197,11.49
659,39.6214952,-84.198677,455,14.79
660,0,0,389,19.14
661,-36.71733,146.4796117,28,18.34666667
662,45.942126,13.640288,286,13.0925
663,0,0,389,19.14
664,0,0,389,19.14
665,0,0,389,19.14
666,0,0,389,19.14
667,0,0,389,19.14
668,46.1384747,4.6420871,175,12.2625
669,0,0,389,19.14
670,0,0,389,19.14
671,45.90802,13.5165379,286,13.0925
672,48.4127894,15.566652,129,11.51083333
673,47.2315397,2.4886282,164,12.14666667
