id,place,lat,lon
317,"Eloro,Italy",36.84229325,15.1069774612447
318,"Finger+Lakes,US",39.6214952,-84.198677
319,"Nuits-St.-Georges,France",47.134979,4.9540989
320,"Moldova,Moldova",47.286747,28.5110236
321,"Pocerina,Serbia",0,0
322,"Lot,France",44.6249918,1.66577421697537
323,"Transmontanas,Portugal",0,0
324,"Murfatlar+Cernavoda,Romania",0,0
325,"Toro,Spain",41.5216963,-5.3939824
326,"Oakville,US",38.4700533,-90.3045605
327,"Vino+de+Mesa,Spain",0,0
328,"Bonnes-Mares,France",48.6264989,1.8579936
329,"Western+Connecticut+Highlands,US",41.5876342,-72.7069677815291
330,"Felso-Magyarorszag,Hungary",48.0733468,20.651781
331,"Russian+River+Valley,US",38.9028592,-123.0581113
332,"Maule+Valley,Chile",-35.5972284,-71.48868
333,"Martinborough,New+Zealand",-41.2183252,175.4594856
334,"Cannonau+di+Sardegna,Italy",0,0
335,"Kathikas,Cyprus",34.9125401,32.4257815
336,"Sudburgenland,Austria",47.3043825,16.1931341103759
337,"Castel+del+Monte,Italy",41.08474385,16.2709411940563
338,"Calchaqui+Valley,Argentina",-47.1110925,-68.2978150383634
339,"San+Benito+County,US",36.6248089,-121.1177379
340,"Coteaux+Varois,France",0,0
341,"El+Colorado,Uruguay",-34.6822337,-56.2911865
342,"Banyuls,France",42.4794084,3.1275893
343,"Tierra+Manchuela,Spain",0,0
344,"Vin+de+Pays+de+la+Mediterranee,France",0,0
345,"Donnici,Italy",39.247472,16.3045561
346,"Puglia,Italy",40.9842539,16.6210027
347,"Port,Portugal",37.0174596,-7.97391106572261
348,"La+Consulta,Argentina",-33.7366936,-69.1185092
349,"Corbieres-Boutenac,France",43.1486332,2.7942614
350,"Happy+Canyon+of+Santa+Barbara,US",0,0
351,"Coteaux+du+Giennois,France",47.6831795,2.6534443
352,"Ile+de+Beaute,France",48.1718972,2.2561863
353,"Cote+Roannaise,France",46.07327765,3.91592193732814
354,"North+Dalmatia,Croatia",44.1128312,15.2264693
355,"Lambrusco+di+Modena,Italy",44.753007,11.009671
356,"Michigan,US",43.6211955,-84.6824346
357,"Beni+M'Tir,Morocco",33.8254023,-6.0807404
358,"Amarone+della+Valpolicella+Classico,Italy",0,0
359,"Western+Cape,South+Africa",-33.546977,20.72753
360,"Savigny-les-Beaune,France",47.0628612,4.8185532
361,"Columbia+Gorge+(WA),US",45.61750365,-121.167821101119
362,"Gevrey-Chambertin,France",47.2261857,4.9705666
363,"Campania,Italy",40.860672,14.843984
364,"Venezia+Giulia,Italy",44.4783698,11.3818595
365,"Amarone+della+Valpolicella,Italy",0,0
366,"Faugeres,France",43.5647,3.19044
367,"Garda+Classico,Italy",0,0
368,"Placer+County,US",39.1012064,-120.7650606
369,"Barbera+d'Asti,Italy",0,0
370,"San+Carlos,Argentina",-46.4321345,-67.9493740503727
371,"Friuli+Isonzo,Italy",45.9160611,13.458748
372,"Corton-Bressandes,France",47.0731697,4.86823164612855
373,"Extremadura,Spain",39.1748426,-6.1529891
374,"Guenoc+Valley,US",38.792,-122.570971
375,"Siracusa,Italy",37.0646139,15.2907196
376,"Salento,Italy",40.248604,15.190058
377,"Colli+Orientali+del+Friuli,Italy",0,0
378,"Corinth,Greece",37.9386936,22.9280447
379,"Arribes+del+Duero,Spain",41.44974,2.210299
380,"Australia-New+Zealand,Australia",0,0
381,"Margaret+River,Australia",-33.9531776,115.0769369
382,"Elgin,South+Africa",-34.1486111,19.0427778
383,"Veneto,Italy",45.6476663,11.8665254
384,"Rose+d'Anjou,France",47.4920035,-0.5021085
385,"Colli+Etruria+Centrale,Italy",0,0
386,"Juanico,Uruguay",-34.5951621,-56.2537148
387,"Santa+Margarita+Ranch,US",38.7752001,-119.0048097
388,"Sliven,Bulgaria",42.6817633,26.3153528
389,"Mamertino,Italy",38.0315592,14.7725171
390,"Coteaux+du+Tricastin,France",0,0
391,"Chassagne-Montrachet,France",46.93636,4.72736
392,"Bourgogne,France",49.35551035,4.06814172020452
393,"Dolcetto+di+Monferrato,Italy",0,0
394,"Rapsani,Greece",39.9020296,22.54849
395,"Moutere,New+Zealand",-41.1515967,172.9961297
396,"Cheverny,France",47.4996989,1.4611064
397,"Saint-Chinian-Roquebrun,France",0,0
398,"Pfalz,Germany",51.90263795,10.4247685311828
399,"Penedes,Spain",41.2889874,1.5911757
400,"Prosecco,Italy",45.7083528,13.733628
401,"Auxey-Duresses,France",46.9862244,4.7467921
402,"Vi+de+la+Terra+Mallorca,Spain",0,0
403,"Colli+Tortonesi,Italy",0,0
404,"Bulgaria,Bulgaria",42.6073975,25.4856617
405,"Lenswood,Australia",-34.920215,138.8284007
406,"Napa+Valley-Paso+Robles,US",0,0
407,"Biferno+Bianco,Italy",0,0
408,"Jumilla,Spain",38.4734708,-1.3285448
409,"Vouvray,France",47.4136687,0.7998446
410,"Bordeaux+Rose,France",44.841225,-0.5800364
411,"Pitsilia+Mountains,Cyprus",0,0
412,"Santa+Barbara,US",34.4221319,-119.7026673
413,"Croatia,Croatia",45.5643442,17.0118954
414,"Reuilly,France",48.83520025,2.4451358546303
415,"Simonsberg-Stellenbosch,South+Africa",-33.883948,18.9271246
416,"Var,France",43.4173595,6.26612878539015
417,"Mendocino-Lake,US",39.3176491,-123.4126399
418,"Gers,France",43.6955276,0.410101917523799
419,"Ohio+River+Valley,US",38.7877904,-84.8101254
420,"Pedernal+Valley,Argentina",-31.9961261,-68.7644217
421,"Tarantino,Italy",40.8498824,14.2294206
422,"Bardolino+Chiaretto,Italy",0,0
423,"Meursault,France",46.9783803,4.7694038
424,"Central+Italy,Italy",42.611735,-77.2919246
425,"Alpilles,France",47.75305525,7.385015
426,"Cotes+du+Roussillon+Les+Aspres,France",0,0
427,"Macon-Verge,France",0,0
428,"Cotes+de+Bordeaux+Francs,France",0,0
429,"Aconcagua+Costa,Chile",0,0
430,"Neuquen,Argentina",-38.3695057,-69.832275
431,"Kutjevo,Croatia",45.423994,17.882287
432,"Vino+da+Mesa+de+Toledo,Spain",0,0
433,"Dao,Portugal",40.6325442,-8.65916415107717
434,"Neusiedlersee,Austria",47.8030761,16.6469619707684
435,"Bardolino,Italy",45.5475595,10.7242145
436,"Limoux,France",43.0538068,2.2176533
437,"Central+Valley,US",38,-121.4
438,"China,China",35.000074,104.999927
439,"Styria,Austria",47.2500001,15.1666665
440,"Mazis-Chambertin,France",47.2201931,4.96684212137278
441,"Malvasia+delle+Lipari,Italy",0,0
442,"Ella+Valley,Israel",32.6900085,35.4159734
443,"Jahant,US",38.205897,-121.111451
444,"Philadelphia,South+Africa",-33.666635,18.580989
445,"Breede+River+Valley,South+Africa",-33.7641013,19.5959321
446,"Aude,France",43.0542733,2.51247145749955
447,"Uco+Valley,Argentina",-34.5788471,-58.4353082
448,"Peumo,Chile",-34.3898607,-71.1718297
449,"Bizkaiko+Txakolina,Spain",43.2811054,-2.1793064
450,"Monterey-Santa+Cruz,US",8.4158023,-73.349828
451,"Cotes+du+Roussillon+Villages+Tautavel,France",0,0
452,"Cole+Ranch,US",32.020114,-102.713209
453,"Muscadet,France",46.7703522,-0.4318968
454,"Barossa-Adelaide+Hills,Australia",-35.003996,138.7164521
455,"Riviera+Ligure+di+Ponente,Italy",44.4270691,8.7868476
456,"Assisi,Italy",43.0711952,12.6146669
457,"Rias+Baixas,Spain",36.7235378,-4.42351
458,"Salice+Salentino,Italy",40.3856618,17.9637483
459,"Emilia,Italy",43.4296529,10.4822036
460,"Candia+Dei+Colli+Apuani,Italy",0,0
461,"Green+Valley,US",34.6216542,-118.4139702
462,"Kremstal,Austria",48.2771082,14.2767326
463,"Similkameen+Valley,Canada",49.45603675,-120.190751651949
464,"Sant'Antimo,Italy",40.945711,14.231429
465,"Saddle+Rock-Malibu,US",0,0
466,"Malgas,South+Africa",-33.9416681,22.4195391
467,"Irrouleguy,France",0,0
468,"Egypt,Egypt",26.2540493,29.2675469
469,"Buenos+Aires,Argentina",-34.6075616,-58.437076
470,"Clairette+de+Bellegarde,France",0,0
471,"Yountville,US",38.395445,-122.360172550506
472,"Traisental,Austria",48.1299677,15.5993819
473,"Mokelumne+River,US",38.2551307,-121.4521395
474,"Roero,Italy",46.1127081,11.3064236
475,"Puligny-Montrachet,France",46.94497,4.75393
476,"San+Juan,Argentina",-46.74517175,-67.1398301932681
477,"Corse+Porto+Vecchio,France",41.5887793,9.2840905
478,"Santorini,Greece",36.4044251,25.3958561
479,"Cotes+de+Bergerac,France",44.8411394,0.7425907
480,"Transmontano,Portugal",41.4357652,-8.2953134
481,"Currency+Creek-McLaren+Vale,Australia",0,0
482,"Maipu,Argentina",-49.147049,-72.4839249
483,"Colli+Aprutini,Italy",0,0
484,"South+Africa,South+Africa",-28.8166236,24.991639
485,"Macon-Chardonnay,France",46.5097977,4.862258
486,"Cape+Agulhas,South+Africa",-34.8332036,19.9999325
487,"Short+Hills+Bench,Canada",0,0
488,"Corton-Pougets,France",47.06938005,4.85764677703868
489,"Sonoma+County-Santa+Barbara+County,US",0,0
490,"Coda+di+Volpe+d'Irpinia,Italy",0,0
491,"Abruzzo,Italy",42.227681,13.854983
492,"Perdriel,Argentina",-33.0801379,-68.8862665
493,"Barossa+Valley,Australia",-34.61341495,138.938545516936
494,"Texas+High+Plains,US",29.6642381,-98.1444271
495,"Aglianico+del+Taburno,Italy",0,0
496,"Mornington+Peninsula,Australia",-38.243315,145.088543163317
497,"Cotes+de+Bordeaux,France",44.73110855,-0.318706385130759
498,"Beneventano,Italy",36.8100217,14.8175347
499,"Castilla+La+Mancha,Spain",39.4177902,-2.6232332
500,"Chignin,France",45.523749,6.0116094
501,"Casablanca-Curico+Valley,Chile",-35.07216595,-71.2558933215569
502,"Vino+da+Tavola,Italy",41.8988768,12.5035512
503,"Ribeira+Sacra,Spain",43.2924591,-2.9921018
504,"Switzerland,Switzerland",46.7985624,8.2319736
505,"Tarnave,Romania",46.2039175,24.5460299897841
506,"Puget+Sound,US",47.8331514,-122.4345806
507,"Garda,Italy",45.66131875,10.6851043446966
508,"Agrelo,Argentina",-33.1184629,-68.8859261
509,"Lake+County-Mendocino+County,US",0,0
510,"Ismarikos,Greece",0,0
511,"Vin+de+Pays+de+la+Haute+Vallee+de+l'Aude,France",0,0
512,"Dominio+de+Valdepusa,Spain",0,0
513,"Lake+County,US",42.3327033,-87.9939552
514,"Valdobbiadene+Superiore+di+Cartizze,Italy",0,0
515,"Isola+dei+Nuraghi,Italy",40.7092763,9.698963
516,"Dealu+Mare,Romania",45.15883225,25.4478130074207
517,"Asolo+Prosecco+Superiore,Italy",0,0
518,"Macon-Milly+Lamartine,France",46.3508165,4.700772
519,"Aude+Hauterive,France",0,0
520,"Vin+de+Pays+Vignobles+de+France,France",0,0
521,"Klein+River,South+Africa",-34.3259555,19.5681494
522,"Padthaway,Australia",-36.5860356,140.521873382282
523,"Beaujolais+Blanc,France",46.2175474,4.5203971
524,"Savennieres,France",47.3830917,-0.6570828
525,"Cochise+County,US",31.8514532,-109.8181858
526,"Napa+County-Sonoma+County,US",0,0
527,"Georgia,Georgia",41.6809707,44.0287382
528,"Zonda+Valley,Argentina",-30.3924889,-69.2099108
529,"Durbanville,South+Africa",-33.8402778,18.6494444
