"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
GE,Batumi,41.65,41.65,5.47,7.88,11.20,14.65,18.43,19.73,19.26,17.50,14.54,10.55,6.59,4.82
GE,Gori,41.98,44.11,5.76,8.32,11.70,14.76,18.04,19.15,18.79,16.74,14.18,10.69,6.84,5.04
GE,Kutaisi,42.26,42.72,5.51,7.92,11.09,14.22,17.42,18.72,19.37,17.57,14.36,10.26,6.55,4.79
GE,Poti,42.15,41.66,5.47,7.88,11.20,14.65,18.43,19.73,19.26,17.50,14.54,10.55,6.59,4.82
GE,Rustavi,41.55,45.03,5.80,8.42,11.66,14.65,17.64,19.30,18.61,16.27,14.04,10.48,6.88,5.08
GE,Sukhumi,43.01,41.00,5.04,7.42,10.55,13.32,16.85,18.54,18.72,16.78,13.86,9.94,5.98,4.36
GE,Tbilisi,41.72,44.79,5.80,8.42,11.66,14.65,17.64,19.30,18.61,16.27,14.04,10.48,6.88,5.08
GE,Zugdidi,42.50,41.86,5.47,7.88,11.20,14.65,18.43,19.73,19.26,17.50,14.54,10.55,6.59,4.82
