"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
RO,Bucuresti,44.50,26.22,5.03,8.95,12.93,17.29,21.56,23.82,23.93,20.77,14.87,10.00,5.56,3.98
RO,"Cluj - Napoca",46.78,23.57,4.12,7.26,11.60,16.08,19.75,21.65,20.83,18.17,12.99,8.90,4.90,3.37
RO,Constanta,44.22,28.63,4.57,8.44,11.92,17.52,22.68,25.29,25.35,21.16,15.48,10.08,5.74,4.04
RO,Craiova,44.32,23.87,5.49,9.48,13.59,18.01,21.14,22.70,22.76,19.13,14.42,9.92,5.86,4.26
RO,Galati,45.50,28.03,4.91,8.71,12.97,17.62,22.53,24.28,23.92,20.59,15.27,9.87,5.28,4.11
RO,Iasi,47.17,27.60,4.43,7.83,12.15,17.17,22.64,24.08,23.41,20.40,13.85,9.20,4.96,3.50
RO,Timisoara,45.78,21.28,3.80,7.50,11.66,16.44,20.83,22.11,21.82,18.98,13.36,9.02,4.98,3.05
