"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
CZ,Churá�?ov,49.07,13.62,3.54,6.14,9.58,14.39,17.56,18.75,18.06,16.06,11.15,7.45,3.93,2.89
CZ,"Hradec Králové",50.18,15.83,2.83,5.40,9.22,15.25,18.98,20.45,19.14,16.99,11.53,6.51,3.07,2.08
CZ,Kosetice,49.58,15.08,3.28,6.15,9.77,15.45,18.42,20.12,18.99,16.77,11.60,6.96,3.47,2.44
CZ,Kucharovice,48.88,16.08,3.20,6.35,10.32,15.86,19.38,20.85,20.27,17.36,12.00,6.95,3.27,2.32
CZ,"Ostrava - Poruba",49.82,18.15,2.99,5.31,9.01,14.67,18.04,19.21,19.02,16.73,11.07,6.47,3.31,2.25
CZ,"Praha - Karlov",50.08,14.43,2.62,5.05,8.67,14.35,17.95,19.30,18.62,16.26,11.10,6.34,2.91,1.94
