"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
EG,Aswan,23.97,32.78,15.96,19.40,22.94,25.82,26.35,28.27,27.19,25.59,22.83,19.79,17.06,15.36
EG,Asyut,27.20,31.17,13.54,17.13,21.21,24.19,25.90,27.79,26.92,25.04,22.38,18.03,14.48,12.50
EG,Bahtim,30.15,31.25,10.88,14.11,17.99,22.08,25.95,27.01,26.26,24.12,20.77,15.95,11.88,10.11
EG,Cairo,30.08,31.28,10.89,14.06,17.94,22.27,25.00,26.77,25.96,23.98,20.50,16.06,11.95,9.87
EG,"El Arish",31.12,33.75,11.35,14.63,19.02,23.18,26.77,28.50,27.94,25.40,21.64,16.80,12.74,10.74
EG,"El Kharga",25.45,30.58,15.03,18.28,22.30,25.39,26.80,28.52,27.54,25.83,23.16,19.44,16.17,14.08
EG,"Mersa Matruh Arpt",31.33,27.22,10.76,13.93,18.27,21.97,26.47,27.07,26.69,24.76,21.32,15.55,11.20,9.80
EG,Rafah,31.22,34.20,11.32,14.30,18.85,23.36,26.99,28.59,27.32,25.51,21.65,16.81,12.18,10.79
