"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
TR,Adana,37.00,35.32,7.24,9.72,13.50,16.63,20.23,24.30,25.49,23.00,18.72,13.10,8.46,6.37
TR,Ankara,39.93,32.85,6.08,8.42,12.71,15.88,19.73,22.54,23.80,21.67,17.28,11.38,7.09,5.04
TR,Antalya,36.89,30.71,7.38,10.01,14.11,17.86,21.96,25.63,26.10,23.44,18.86,13.10,8.68,6.30
TR,Bursa,40.20,29.08,5.76,8.03,11.74,15.84,20.63,23.47,23.94,21.13,16.09,10.26,6.55,4.82
TR,Gaziantep,37.07,37.39,7.24,9.90,14.00,18.11,22.57,26.60,27.11,24.52,20.05,13.57,8.53,6.41
TR,Istanbul,41.10,29.00,5.33,7.92,12.20,17.32,22.86,26.17,26.96,23.29,17.42,10.55,6.41,4.50
TR,Izmir,38.43,27.15,7.45,10.01,14.26,18.36,23.26,26.50,26.64,23.76,18.58,12.78,8.32,6.26
TR,Konya,37.88,32.48,7.06,9.47,13.57,17.53,21.20,24.05,25.13,22.68,18.22,12.17,7.92,5.90
