"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
CL,Antofagasta,-23.43,-70.45,30.65,28.04,24.66,19.20,14.92,12.59,11.43,16.10,20.48,24.67,28.08,30.21
CL,Coyhaique,-45.58,-72.12,17.87,16.71,11.97,7.28,4.00,2.69,3.12,5.36,8.31,15.47,18.69,22.43
CL,"Punta Arenas",-53.00,-70.85,17.86,15.10,11.62,5.92,2.92,2.05,2.30,4.65,7.43,13.68,17.13,20.53
