"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
CY,Gazimagusa,35.11,33.94,9.00,12.42,17.14,21.82,25.96,28.80,28.76,26.39,21.96,16.16,10.73,8.14
CY,Girne,35.33,33.33,8.96,12.06,16.85,21.67,25.99,28.98,28.84,26.06,21.60,15.59,10.40,7.92
CY,Gonyeli,35.22,33.30,8.96,12.06,16.85,21.67,25.99,28.98,28.84,26.06,21.60,15.59,10.40,7.92
CY,Guzelyurt,35.20,32.98,8.96,12.06,16.85,21.67,25.99,28.98,28.84,26.06,21.60,15.59,10.40,7.92
CY,Larnaca,34.92,33.63,9.00,12.42,17.14,21.82,25.96,28.80,28.76,26.39,21.96,16.16,10.73,8.14
CY,Limassol,34.68,33.05,8.96,12.06,16.85,21.67,25.99,28.98,28.84,26.06,21.60,15.59,10.40,7.92
CY,Nikosia,35.16,33.38,8.96,12.06,16.85,21.67,25.99,28.98,28.84,26.06,21.60,15.59,10.40,7.92
